,averageOccupancy,averageSpeed,dataRegion,month,paxKms,routeLength,routeUid,vehicleKms,vehicleTrips,vehicleUid,year,Unnamed: 11,Unnamed: 12,CURRENT PLATE,Euro Class
998,67.33333701,50.99990081,Bay of Plenty,4,16127.36896,119.7576838,Bay of Plenty-143b,239.5153675,12,KBD886,2022,,,KBD886,EURO IV
999,50.83868237,36.28108325,Bay of Plenty,12,17932.46843,88.18318845,Bay of Plenty-143a,352.7327538,12,KBD886,2022,,,KBD886,EURO IV
1000,2.603324834,48.91672551,Bay of Plenty,12,2326.295362,55.8491427,Bay of Plenty-147,893.5862832,22,KBD886,2022,,,KBD886,EURO IV
1001,47.1607432,48.80088229,Bay of Plenty,12,16890.98844,119.3859362,Bay of Plenty-143b,358.1578086,15,KBD886,2022,,,KBD886,EURO IV
1002,16.2394034,50.85675304,Bay of Plenty,1,7603.173686,117.0482298,Bay of Plenty-143a,468.1929192,8,KBD886,2022,,,KBD886,EURO IV
1003,2.131909573,49.58333299,Bay of Plenty,1,1428.779384,55.84896759,Bay of Plenty-147,670.1876111,16,KBD886,2022,,,KBD886,EURO IV
1004,17.09128506,53.36306167,Bay of Plenty,1,12274.83607,119.6987825,Bay of Plenty-143b,718.1926947,9,KBD886,2022,,,KBD886,EURO IV
1005,46.04930452,47.92075226,Bay of Plenty,7,16041.60892,116.1190821,Bay of Plenty-143a,348.3572463,15,KBD886,2022,,,KBD886,EURO IV
1006,3.462952984,48.16059923,Bay of Plenty,7,3481.256835,55.84920107,Bay of Plenty-147,1005.285619,25,KBD886,2022,,,KBD886,EURO IV
1007,72.28701342,49.8994206,Bay of Plenty,7,17268.89591,119.4467381,Bay of Plenty-143b,238.8934761,14,KBD886,2022,,,KBD886,EURO IV
1008,13.79336684,47.42542378,Bay of Plenty,9,11217.1446,116.1753506,Bay of Plenty-143a,813.2274543,14,KBD886,2022,,,KBD886,EURO IV
1009,1.957363334,49.72037146,Bay of Plenty,9,2186.312492,55.84840724,Bay of Plenty-147,1116.968145,24,KBD886,2022,,,KBD886,EURO IV
1010,19.20279209,50.37683378,Bay of Plenty,9,13762.26526,119.4467381,Bay of Plenty-143b,716.6804283,14,KBD886,2022,,,KBD886,EURO IV
1011,8.755199378,31.89367855,Bay of Plenty,6,6213.222896,78.85121398,Bay of Plenty-143a,709.6609258,14,KBD886,2022,,,KBD886,EURO IV
1012,2.349471423,35.58054119,Bay of Plenty,6,2133.216934,41.27073229,Bay of Plenty-147,907.9561103,28,KBD886,2022,,,KBD886,EURO IV
1013,26.57208978,34.42557763,Bay of Plenty,6,6452.103953,80.93835808,Bay of Plenty-143b,242.8150742,15,KBD886,2022,,,KBD886,EURO IV
1014,37.71262068,47.59159063,Bay of Plenty,5,13237.6737,117.0048069,Bay of Plenty-143a,351.0144207,14,KBD886,2022,,,KBD886,EURO IV
1015,2.726331322,48.22240651,Bay of Plenty,5,2867.914104,55.36482172,Bay of Plenty-147,1051.931613,25,KBD886,2022,,,KBD886,EURO IV
1016,2.600209377,44.4424003,Bay of Plenty,5,583.5436074,44.88435528,Bay of Plenty-135,224.4217764,5,KBD886,2022,,,KBD886,EURO IV
1017,28.67552582,50.60629298,Bay of Plenty,5,13736.45821,119.7576838,Bay of Plenty-143b,479.030735,14,KBD886,2022,,,KBD886,EURO IV
1018,2.44411977,48.58141979,Bay of Plenty,8,4544.793863,116.217552,Bay of Plenty-143a,1859.480832,19,KBD886,2022,,,KBD886,EURO IV
1019,1.695855532,49.95282361,Bay of Plenty,8,2083.62829,55.8481398,Bay of Plenty-147,1228.659076,24,KBD886,2022,,,KBD886,EURO IV
1020,16.22882927,48.06709781,Bay of Plenty,8,3876.961438,119.4467381,Bay of Plenty-143b,238.8934761,4,KBD886,2022,,,KBD886,EURO IV
1021,36.24429586,1.5900195,Bay of Plenty,11,411.5200636,3.784688081,Bay of Plenty-143a,11.35406424,13,KBD886,2022,,,KBD886,EURO IV
1022,1.924900844,2.081600644,Bay of Plenty,11,75.26691776,2.300100685,Bay of Plenty-147,39.10171164,22,KBD886,2022,,,KBD886,EURO IV
1023,31.93107832,1.605560459,Bay of Plenty,11,372.6418976,3.890064864,Bay of Plenty-143b,11.67019459,13,KBD886,2022,,,KBD886,EURO IV
1024,0.203691154,38.6281468,Bay of Plenty,3,1269.229988,41.26588928,Bay of Plenty-135,6231.149281,152,GKE474,2022,,,GKE474,EURO IV
1025,2.170715499,41.48816799,Bay of Plenty,1,9441.286205,40.27212077,Bay of Plenty-135,4349.389043,121,GKE474,2022,,,GKE474,EURO IV
1026,2.483827917,29.3219808,Bay of Plenty,2,8020.507067,28.57602903,Bay of Plenty-135,3229.09128,123,GKE474,2022,,,GKE474,EURO IV
1027,0.777485298,39.61904449,Bay of Plenty,9,4591.289078,41.00907377,Bay of Plenty-135,5905.306624,147,GKE474,2022,,,GKE474,EURO IV
1028,2.506705604,41.55628677,Bay of Plenty,5,11641.91169,40.03713382,Bay of Plenty-135,4644.307523,132,GKE474,2022,,,GKE474,EURO IV
1029,1.338915155,31.50944846,Bay of Plenty,6,4950.946811,30.55975253,Bay of Plenty-135,3697.730056,132,GKE474,2022,,,GKE474,EURO IV
1030,2.800250363,41.83419268,Bay of Plenty,4,10859.68175,40.39698965,Bay of Plenty-135,3878.111006,108,GKE474,2022,,,GKE474,EURO IV
