stop_id,stop_city
14003074,Hamilton
14001451,Hamilton
14007123,Kihikihi
14003941,Hamilton
14004790,Hamilton
14006842,Huntly
14006621,Thames
14002287,Thames
14001756,Hamilton
14006181,Te Uku
14005896,Hamilton
14003646,Taupo
14001923,Ngaruawahia
14006716,Whatawhata
14001600,Hamilton
14003174,Hamilton
14006493,Pokeno
14004988,Hautapu
14008300,Tokoroa
14007626,Mystery Creek
14003699,Hamilton
14004105,Taupo
14003327,Hamilton
14003083,Tuakau
14005186,Raglan
14001682,Springfield
14004009,Hamilton
14004466,Pokeno
14005845,Horotiu
14008230,Raglan
14001089,Springfield
14005963,Hamilton
14006818,Hamilton
14004792,Hamilton
14008089,Waitetuna
14006576,Taupo
14001013,Hamilton
14005681,Hamilton
14007993,Springfield
14007773,Kihikihi
14002507,Hamilton
14006529,Hamilton
14001566,Springfield
14008098,Tokoroa
14005909,Mercer
14002882,Hamilton
14004879,Tokoroa
14007762,Springfield
14006404,Hamilton
14001724,Hamilton
14001723,Hamilton
14007736,Tokoroa
14008280,Hamilton
14002376,Hamilton
14004444,Hamilton
14003159,Huntly
14007189,Raglan
14002286,Hamilton
14008019,Taupo
14007455,Thames
14004939,Franklin
14001539,Taupo
14007882,Hamilton City
14006130,Thames
14001858,Hamilton
14003384,Hamilton
14007861,Hamilton City
14007154,Hamilton
14002503,Hamilton
14003868,Hamilton
14001557,Pokeno
14007748,Hamilton
14006289,Tokoroa
14003761,Tauwhare
14004335,Hamilton
14001964,Hamilton
14002370,Hamilton
14004754,Hamilton
14008155,Hamilton
14008441,Matamata
14003262,Hamilton
14004399,Hamilton
14001586,Hamilton
14003879,Hamilton
14008057,Pokeno
14005645,Springfield
14006260,Hamilton
14008951,Pokeno
14001066,Hamilton
14002491,Hamilton
14005699,Hamilton
14002045,Cambridge
14001227,Huntly
14008975,Raglan
14003284,Matamata
14001929,Hamilton
14004571,Huntly
14005992,Springfield
14002514,Hamilton
14007948,Hamilton
14004225,Hamilton
14002989,Hamilton
14005604,Hamilton
14006532,Hamilton
14005914,Tuakau
14007063,Hamilton
14001842,Hamilton
14007643,Pokeno
14003989,Hamilton
14006435,Hamilton
14002452,Hamilton
14001311,Hamilton
14002345,Hamilton
14008188,Pokeno
14005587,Cambridge
14002475,Hamilton
14002570,Hamilton
14006848,Hamilton
14005715,Springfield
14006450,Hamilton
14007752,Hamilton
14001247,Springfield
14002291,Hamilton
14006686,Morrinsville
14008854,Hamilton
14002102,Hamilton
14002502,Hamilton
14008326,Hamilton
14001332,Hamilton
14006321,Hamilton
14006300,Tuakau
14006147,Hamilton
14005642,Huntly
14001550,Hamilton
14008236,Raglan
14003294,Tamihana
14004751,Springfield
14006343,Hamilton
14008600,Hamilton
14003913,Hamilton
14006466,Hamilton
14001145,Hamilton
14005711,Waitetuna
14007120,Hamilton
14004255,Pokeno
14006580,Hamilton City
14008126,Hamilton
14001562,Tokoroa
14001317,Hamilton
14005669,Hamilton
14004699,Hamilton
14001166,Hamilton
14003711,Hamilton
14008659,Hamilton
14008090,Hamilton
14001028,Hamilton
14001812,Hamilton
14008955,Springfield
14004368,Hamilton
14001235,Hamilton
14001721,Taupo
14006803,Kinloch
14006062,Horotiu
14002679,Hamilton
14002515,Hamilton
14007384,Hamilton
14004221,Hamilton
14008018,Hamilton
14007888,Kihikihi
14002776,Thames
14007640,Matamata
14002271,Hamilton
14001454,Hamilton
14001388,Hamilton
14008140,Hamilton
14006853,Hamilton
14008444,Hamilton
14008121,Hamilton
14002995,Hamilton
14005659,Hamilton
14004679,Pokeno
14001383,Hamilton
14001000,Hamilton
14006902,Hamilton
14005496,Raglan
14008046,Hamilton
14007594,Tuakau
14001687,Springfield
14002359,Hamilton
14006200,Hamilton
14006068,Tokoroa
14006772,Hamilton
14006781,Springfield
14005198,Thames
14006127,Cambridge
14004555,Hamilton
14001796,Cambridge
14008301,Hamilton
14008225,Hamilton
14001657,Hamilton
14001504,Hamilton
14005377,Huntly
14008767,Hamilton
14004786,Putaruru
14001297,Hamilton
14006363,Taupo
14007820,Mangakino
14002400,Hamilton
14004092,Putaruru
14008697,Hamilton
14002038,Raglan
