,Vehicle Number,Vehicle Type,Vehicle Emissions Standard,Vehicle Registration Number,TARE Weight (KG),Total Trips,Routes,Service Types,Total Running Time,Total In-Service KM,Total Passenger KM,Cancelled Trips Count,Average Speed,Average Occupancy,"Total CO2 Emissions, KG","Total Emissions Value, $","Total Emissions Savings, $",Emissions per VKT
38,2221,LV,EURO5,FLD111,12190.0,1877,"3, 12, 21, 36, 83, 2, 18, 740, 13, 34, 719, 33, 37, 84, 22, 14, 753, 888, 886, 755, 712, 617, 764, 739, 35, 737, 619, 736, 754, 722, 784, 615, 81, 704, 758, 612, 711, 717, 743, 611, 761, 616, 621, 745, 768","Public Bus, School Bus",3466429,19660.873,233543.606,4,20.32932446170844,11.202196201948098,20449.36417353373,1779.0946830974347,2362.7113448487194,1.0401045860747755
39,2222,LV,EURO5,FJQ565,12190.0,2193,"3, 12, 14, 21, 22, 744, 18, 740, 737, 612, 33, 37, 83, 34, 36, 611, 717, 711, 81, 84, 13, 35, 741, 2, 754, 762, 888, 615, 667, 704, 736, 739, 621, 722, 886, 764, 753, 760, 784, 761, 743","Public Bus, School Bus",4637138,30264.641,404260.045,0,22.329009530063598,11.407178974299484,29586.31054910127,2574.0090177718102,4595.387395670498,0.9775867008996164
40,2223,LV,EURO5,FJQ566,12190.0,1898,"3, 14, 22, 83, 84, 21, 33, 13, 35, 81, 12, 36, 34, 37, 764, 617, 886, 888, 615, 740, 739, 18, 704, 619, 2, 711, 755, 28, 716, 784, 791, 614, 712, 769, 737, 743, 611, 612, 744, 762, 621, 754, 760, 742, 719, 722, 736, 745","Public Bus, School Bus",3809097,22514.464,275549.146,3,20.56322487730423,11.185110002287672,22880.512634941293,1990.6045992398927,2896.1535246293383,1.016258376612532
41,2445,LV,EURO3,CNR604,9710.0,1876,"13, 14, 83, 21, 33, 84, 22, 18, 3, 12, 81, 34, 741, 740, 754, 667, 612, 2, 711, 717, 37, 621, 719, 35, 736, 761, 784, 739, 36, 704, 722, 617, 764, 888, 615, 887, 886, 737, 614","Public Bus, School Bus",3734792,23856.387,308791.009,2,21.863784321070565,10.841317806952482,23142.95984806437,2013.4375067816002,3462.852272060708,0.9700949204112245
42,2446,LV,EURO3,CNR605,9710.0,1358,"3, 12, 14, 83, 21, 36, 22, 33, 37, 704, 84, 888, 2, 81, 18, 34, 667, 740, 737, 35, 743, 615, 736, 719, 711, 739, 616, 13, 619, 764, 721, 886, 762, 754, 617, 784, 612, 761, 887, 742, 722, 741, 712","Public Bus, School Bus",2761100,16054.805,214233.368,1,20.51676323537645,12.033399563294322,16474.404041685364,1433.2731516266267,2366.073232404143,1.0261354181309186
43,2447,LV,EURO3,CPC191,9710.0,1200,"22, 36, 736, 13, 14, 35, 791, 3, 12, 21, 784, 83, 2, 34, 18, 33, 37, 612, 740, 744, 84, 617, 764, 739, 81, 888, 743, 704, 619, 718, 711, 769, 615, 719, 737, 761, 755, 745, 667, 614, 741","Public Bus, School Bus",2327673,13297.883,156837.311,2,20.11523415600949,11.504184851368544,13659.002531640834,1188.3332202527524,1593.1161682895554,1.0271561670110072
44,2448,LV,EURO3,CPC199,9710.0,1510,"18, 21, 12, 14, 22, 34, 33, 37, 743, 621, 3, 83, 35, 737, 784, 886, 13, 81, 719, 667, 760, 739, 36, 615, 711, 84, 888, 616, 612, 619, 617, 736, 2, 712, 764, 754, 887, 741, 704, 761, 762, 767, 769, 740, 745, 755, 614","Public Bus, School Bus",2992939,18036.966,220915.576,3,21.063402517746923,11.25616789994883,18032.29688364288,1568.8098288769309,2349.0429439538384,0.9997411362666471
45,2449,LV,EURO3,CPG39,9710.0,1616,"14, 18, 34, 667, 719, 3, 21, 22, 83, 84, 615, 36, 81, 711, 2, 742, 33, 12, 13, 704, 761, 744, 760, 784, 736, 741, 35, 740, 37, 743, 888, 755, 712, 739, 886, 887, 612, 611, 616, 20, 737, 753, 617, 764, 621, 754, 722","Public Bus, School Bus",3111257,18357.431,227100.351,4,20.617759632308083,11.32553699483372,18535.95085539794,1612.6277244196208,2414.9096542765333,1.0097246643823932
46,2452,LV,EURO3,CPT78,9710.0,1658,"3, 14, 81, 83, 21, 22, 711, 12, 33, 37, 743, 13, 18, 34, 719, 784, 35, 740, 754, 621, 612, 36, 761, 84, 888, 736, 617, 764, 704, 667, 722, 760, 741, 742, 886, 615, 739, 2, 791, 745, 762, 718, 755, 737, 717, 616, 744, 619","Public Bus, School Bus",3480101,20890.897,268725.105,1,20.88606729361698,11.789651689457651,20982.12103955511,1825.4445304412943,2940.2918509240903,1.0043666884938023
47,2453,LV,EURO3,CQF853,9710.0,1491,"3, 21, 83, 12, 81, 22, 18, 719, 13, 14, 623, 711, 2, 84, 34, 33, 704, 667, 740, 616, 37, 743, 754, 35, 761, 764, 619, 737, 739, 617, 36, 736, 741, 744, 722, 760, 784, 887, 769, 886, 767, 888, 612","Public Bus, School Bus",3080873,20249.776,260803.185,2,21.820816741571818,10.980610466676074,19258.8101251096,1675.5164808845354,2949.7276961731573,0.9510628722564437
