Date Modified,Vehicle Number,Operator,Operator Short Code,Operator Prefix,Unit Number,Mode,Date of First Registration,Date of Manufacture,Bike Rack Capable,Bus Size,Engine Rating,"Max no. of passengers (Seated, Adult)","Max no. of passengers (Standing, Adult)",No. of Wheelchair Spaces,TARE Weight (KG),Vehicle Registration Number,source_filename
23/07/2018,2609,NZ Bus,NZB,NBM,Unit_06,Bus,5/11/2009,5/11/2009,No,LV81,EURO3,38,46,1,10650,FDD207,2018-07-23_fleet-list.csv
23/07/2018,2610,NZ Bus,NZB,NBM,Unit_06,Bus,6/11/2009,6/11/2009,No,LV81,EURO3,38,46,1,10650,GAT976,2018-07-23_fleet-list.csv
23/07/2018,2611,NZ Bus,NZB,NBM,Unit_06,Bus,6/11/2009,6/11/2009,No,LV81,EURO3,38,46,1,10650,FDD212,2018-07-23_fleet-list.csv
23/07/2018,3000,Tranzurban,TGL,TZM,Unit_10,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3001,Tranzurban,TGL,TZM,Unit_10,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3002,Tranzurban,TGL,TZM,Unit_09,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3003,Tranzurban,TGL,TZM,Unit_09,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3004,Tranzurban,TGL,TZM,Unit_10,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3005,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3006,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3007,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3008,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3009,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3010,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3011,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3012,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3013,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3014,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3015,Tranzurban,TGL,TZM,Unit_01,Bus,,,Yes,SV,EURO6,,,,7190,,2018-07-23_fleet-list.csv
23/07/2018,3101,Tranzurban,TGL,TZM,Unit_15,Bus,6/04/2018,9/04/2018,Yes,MV,EURO6,33,22,1,7560,LHG22,2018-07-23_fleet-list.csv
